wavelength (nm),1090 p transmit,1090 p reflect,1090 s transmit,1090 s reflect,3070 p transmit,3070 p reflect,3070 s transmit,3070 s reflect,5050 p transmit,5050 p reflect,5050 s transmit,5050 s reflect,7030 p transmit,7030 p reflect,7030 s transmit,7030 s reflect,9010 p transmit,9010 p reflect,9010 s transmit,9010 s reflect
281,0.482598424,0.741248603,0.710042123,0.682807222,0.719255984,0.745751799,0.671164134,0.505079031,1.245237172,2.368264228,1.14399752,2.221630052,0.362662822,0.728665492,0.070900925,0.731562202,0.667785509,0.02961928,0.677212609,0.742005765
282,0.699962842,0.692320317,0.736795808,0.596926272,0.706249682,0.748446806,0.483884484,0.721406104,1.386943162,2.108781889,1.053033903,2.130336493,0.696338243,0.739271175,0.284215748,0.676140742,0.659228623,0.737607837,0.676566177,0.699920402
283,0.726088058,0.719451528,0.746157382,0.685467515,0.673427283,0.677965846,0.748130097,0.746104616,1.007897343,2.003041932,1.345305741,2.028952274,0.71273469,0.217700869,0.179058984,0.057571765,0.671571345,0.713255029,0.729249556,0.730878767
284,0.700646854,0.674530346,0.702167179,0.688214648,0.708201298,0.704519889,0.676007346,0.725001145,1.15417558,2.250630468,1.267954767,2.236674681,0.469673157,0.709674159,0.743537903,0.743929807,0.136434466,0.722047638,0.714451001,0.718221903
285,0.745066534,0.497582972,0.738262951,0.654716253,0.668560862,0.291046977,0.743812951,0.695921253,1.466640353,2.127378404,1.358081341,2.060240466,0.679238459,0.72689936,0.324770987,0.653352618,0.400393039,0.701367166,0.302668601,0.735232339
286,0.734913436,0.731771416,0.697218805,0.728960072,0.81749237,0.672102474,0.721526892,0.724046025,1.361715019,2.245530739,1.16654931,2.373061389,0.577437103,0.717657113,0.544094026,0.744999323,0.72627019,0.741306202,0.742894812,0.728996571
287,0.698183166,0.697717882,0.72612806,0.67106389,0.688732037,0.02082387,0.738773272,0.680465588,1.387739599,2.663850069,1.524033189,2.67836535,0.669955737,0.737734082,0.748822689,0.666677624,0.700534347,0.698191685,0.713298279,0.385143131
288,0.67428105,0.704417557,0.737986707,0.71942288,0.675872448,0.699247685,0.667370999,0.730645498,1.208581373,2.006084612,1.157186285,2.063254297,0.687104129,0.709708698,0.704492504,0.734429304,0.264889121,0.096595287,0.021527521,0.709049914
289,0.712923037,0.749705912,0.681542918,0.668900355,0.703410309,0.744292758,0.748343541,0.717956416,1.35110721,2.088718317,1.282017648,2.554053366,0.713272508,0.70624048,0.710924347,0.693700653,0.706779161,0.921573482,0.734266377,0.710259685
290,0.70639722,0.700794888,0.669651952,0.309833288,0.729223548,1.231261198,0.836081286,0.735846252,1.146151364,2.409371734,1.223147988,2.182717145,0.676036657,0.696093463,0.687972625,0.713472917,0.677593445,0.688844005,0.685133832,0.677290628
291,0.718527713,0.65083921,0.719719074,0.686953778,0.701868893,0.27822125,0.699182987,0.429341435,1.284608603,2.10234341,1.053319376,2.124322414,0.673729567,0.669448746,0.748359058,0.707319808,0.733589627,0.639626622,0.18309173,0.678617878
292,0.685849405,0.374834657,0.716808684,0.604809284,0.667469713,0.707594279,0.713742624,0.725949,1.019082991,2.078824438,1.433364034,2.110558957,0.735177512,0.328781962,0.114902459,0.698615549,0.737730316,0.989452886,0.735750034,0.68013112
293,0.715912572,0.685620434,0.732524813,0.737648414,0.895707279,1.325224173,0.724870493,0.735047054,1.587200642,2.035233814,1.269104421,2.399132341,0.686213992,0.673964366,0.674027855,0.692084976,0.706900349,0.832248094,0.725858647,0.713456293
294,0.736669135,0.12114504,0.744000029,0.675951294,0.746509299,0.813830141,0.075986035,0.717958762,1.195473224,2.272490323,1.252684265,2.195344776,0.697339169,0.680668058,0.3174842,0.722677254,0.696182993,0.73482558,0.749552014,0.690908606
295,0.698437182,0.711682779,0.688048737,0.309887081,0.681551668,0.675940745,0.712177418,0.367927492,1.060310069,2.22537376,1.220144793,2.152258128,0.746870971,0.691485686,0.705466458,0.689150006,0.731082036,0.687732511,0.722007222,0.239002213
296,0.73215564,0.698209975,0.743118618,0.743704249,0.73484164,0.183322415,0.144730806,0.667171734,1.332102776,2.098364115,1.07291235,2.082616329,0.711006022,0.718502345,0.679128383,0.730707861,0.690680708,0.671576046,0.711885024,0.396368474
297,0.159461826,0.739319286,0.680424767,0.274232507,0.655450761,0.559501648,0.694576948,0.265639961,1.155009657,2.152332529,1.330523402,2.42054975,0.68524615,0.735458986,0.318737239,0.499072909,0.676546355,0.741606536,0.093818672,0.692035252
298,0.708486279,0.714363164,0.734264703,0.397017598,0.733783323,0.693167611,0.704558298,0.702476051,1.344071657,2.070080578,1.577906728,2.478979707,0.707034432,0.736904537,0.705928355,0.723955738,0.684383835,0.711725841,0.675570264,0.737742211
299,0.075682998,0.717241762,0.229433224,0.692900372,0.697058868,0.679254317,0.722043149,0.743800633,1.016658181,2.219900206,1.081598289,2.381259978,0.696572014,0.525989533,0.731481592,0.685185661,0.212351561,0.712661596,0.667078428,0.721749058
300,0.745049773,0.686628613,0.696302043,0.696520395,0.880503466,0.814218159,0.669012156,0.735382412,1.147616565,2.065717191,1.163662002,2.804982305,0.739994753,0.704381787,0.692557568,0.738124521,0.743752905,0.708705039,0.710883179,0.741339596
301,0.713732243,0.516707301,0.682965299,0.727286859,0.243232697,0.693345344,0.674076716,0.671047282,1.511170387,2.200390518,1.428722322,2.512907386,0.749627401,0.156795949,0.485218257,0.724669374,0.66697382,0.714100369,0.668197061,0.667061854
302,0.695062908,0.730143727,0.715109329,0.670827505,0.667068214,0.646455765,0.713723183,0.749788677,1.693187118,2.966391623,1.913901985,3.511547565,0.68962841,0.633133411,0.189661905,0.702431011,0.730834862,0.671196667,0.701272923,0.706316774
303,0.716827662,0.702183499,0.724628794,0.68339591,0.746583122,1.130646731,0.699227559,0.703286033,1.426839471,2.685959697,1.421069831,3.657729745,0.420024425,0.742397448,0.74843251,0.078640863,0.694151533,0.719205574,0.719664401,0.670123929
304,0.667560431,0.703917849,0.037775792,0.716741728,0.7526113,0.687549412,0.694481848,0.744014754,1.908949792,2.995686472,1.849869371,3.949562073,0.668057919,0.691177615,0.695196557,0.748492289,0.754833389,0.442011178,0.721653894,0.72971928
305,0.695508054,0.684643553,0.708176304,0.713190702,0.703276625,0.667485416,0.679341749,0.673680492,1.924516082,2.873942494,1.986234963,4.074816465,0.707714485,0.683236493,0.668856606,0.74037453,0.297800392,0.714344449,0.675302536,0.675200745
306,0.702097246,0.680653346,0.682797589,0.687014979,1.142491733,0.726849981,0.943869985,0.902099537,2.259633899,2.940060973,1.953418553,4.872653723,0.734941147,0.690020095,0.670837579,0.741524303,0.695320882,0.720588913,0.685516583,0.687102937
307,0.743901596,0.700420698,0.104667388,0.338578075,0.679968746,1.074098297,0.704213948,0.697263749,2.432581663,3.606389523,2.733528256,5.273728848,0.706071642,0.186319903,0.69593828,0.740209221,0.712510261,0.70673016,0.675319556,0.679404412
308,0.693570454,0.738085482,0.679763553,0.679152865,1.135109694,0.717002074,0.795561229,0.740118709,2.303694248,3.690158606,2.486769915,6.320722103,0.703185772,0.607474089,0.319039017,0.71368478,0.72313448,0.711444868,0.714093115,0.72329471
309,0.682616282,0.678615782,0.719916223,0.704171942,0.715093838,0.694099623,0.321602196,0.739409664,3.103543758,3.908635378,2.954541564,7.180126667,0.722171741,0.455131859,0.728594131,0.742320724,0.669965697,0.744474159,0.685706361,0.694461843
310,0.691902405,0.685090047,0.661072195,0.700367827,0.707112147,0.685544394,0.678885803,0.732855209,2.727133632,4.006182909,2.814253449,6.255194187,0.042898171,0.706965207,0.215896785,0.738894485,0.708444867,0.676069943,0.264721036,0.030049548
311,0.669638261,0.731392717,0.721698868,0.316942006,0.687001203,0.682589962,0.745147177,0.676540846,2.665465355,3.752175808,2.947860003,7.114029884,0.574464083,0.226794764,0.718296004,0.019099213,0.524210095,0.693092157,0.687963775,0.733317292
312,0.74696161,0.110148996,0.67020078,0.727233515,0.785282784,0.692081656,0.994470386,0.720141242,2.456749082,3.925838351,2.874760747,7.163223743,0.37205255,0.702880948,0.715873359,0.722210828,0.733794594,0.748588004,0.702554865,0.72180682
313,0.723652505,0.707023515,0.709348688,0.719185451,0.695885617,0.588385224,0.703261652,0.699500031,3.295432806,4.568300962,2.926659107,7.937520027,0.745103313,0.730305937,0.672469586,0.726790966,0.744249335,0.690540205,0.68753502,0.744398194
314,0.734866529,0.70553789,0.720525155,0.68059266,0.697524543,0.722714898,0.667751398,0.725381296,3.243544817,4.973572254,3.648850441,8.781692028,0.698728979,0.365749598,0.716871692,0.714507673,0.690388227,0.727361015,0.680281267,0.695537123
315,0.712920426,0.734302062,0.683699937,0.684865065,0.736901495,0.71785966,1.122363929,0.627483308,3.101422548,5.155007601,2.952564359,8.566583157,0.287029266,0.696339488,0.607275426,0.72470823,0.691423293,0.695091244,0.5841465,0.748526871
316,0.71288889,0.683742263,0.679027214,0.707275962,0.504220545,0.671945445,0.675525129,0.697352055,2.87950623,4.700353622,2.456852436,7.980220318,0.682643964,0.679845092,0.703477315,0.717246925,0.699213689,0.672921519,0.669444161,0.692742646
317,0.670145048,0.202619255,0.734173178,0.125425503,0.719799877,0.692630084,0.72151075,0.518630564,2.75161624,5.082966328,3.406448126,8.069240093,0.388455987,0.740878105,0.284921169,0.724796625,0.738191163,0.469070435,0.721581004,0.725223664
318,0.7142515,0.728649454,0.727982445,0.740463646,0.726734867,0.677999799,0.739207035,0.235548273,2.140301347,4.718319178,2.273757815,7.299102306,0.668656055,0.492720664,0.685687624,0.700754237,0.689817711,0.669129271,0.424871355,0.741460897
319,0.689189279,0.736342073,0.395703793,0.692971529,0.707465567,0.700713453,0.711795236,0.670121013,2.347078443,5.014006376,1.991247773,6.913693905,0.747975421,0.727378016,0.721179379,0.691921645,0.096108034,0.718369257,0.674241521,0.683176867
320,0.719784584,0.200373069,0.682319523,0.597780407,0.744426945,0.7229473,0.731197505,0.745723989,1.463968247,5.147243023,2.391995549,6.704410553,0.671898507,0.728549561,0.115184523,0.084459625,0.150547236,0.726869748,0.698548657,0.739266668
321,0.544577479,0.716048127,0.026121503,0.681435357,0.323597461,0.595959544,0.737978254,0.256640762,2.18708086,6.032083988,3.559033871,6.883746147,0.02569964,0.684551663,0.736289459,0.498623073,0.749185492,0.726122742,0.103986017,0.717913868
322,0.681426257,0.674938856,0.463572621,0.433395892,0.179024801,0.073403135,0.332395196,0.70030047,1.701516986,5.850835085,2.513954043,6.645510197,0.109767631,0.011022812,0.692729635,0.044598557,0.145757601,0.358384818,0.311818451,0.679393674
323,0.713989621,0.276539832,0.73714155,0.698253334,0.691900852,0.582101047,0.225055933,0.11917752,1.74250859,5.796368361,2.490620971,6.465155602,0.722974318,0.706122481,0.492807657,0.720620732,0.379512221,0.641130328,0.176211372,0.52889514
324,0.669111801,0.689707577,0.705796311,0.669059101,0.693396444,0.690108405,0.742837821,0.679903401,1.804825306,6.313514233,3.052104473,5.996289253,0.72662815,0.713762029,0.730873834,0.673448879,0.480019361,0.697105994,0.725539879,0.72960182
325,0.67381035,0.634176731,0.702626009,0.736084654,0.724784089,0.700834751,0.670404986,0.738416278,1.807031035,5.839961529,2.995969415,6.141828537,0.654615581,0.689558539,0.139065132,0.713096823,0.670362397,0.704433318,0.734660184,0.706690023
326,0.71095862,0.086495548,0.58022815,0.105169751,0.184065491,0.742909908,0.26701203,0.703454688,1.575977266,5.888626337,2.202288032,5.619378805,0.227147922,0.31339097,0.333945543,0.737092405,0.216652289,0.620976031,0.253732055,0.714534267
327,0.69105872,0.723493755,0.686059795,0.333298504,0.686917576,0.567300797,0.741020849,0.723438084,1.547935486,5.349079847,2.157067299,5.210492849,0.406031579,0.669742167,0.682305584,0.312630147,0.506285369,0.615418196,0.668208605,0.691288821
328,0.673669718,0.394179016,0.718257291,0.66983116,0.667617038,0.715816262,0.709240493,0.735348202,1.855660915,5.264635086,1.954714894,5.16395092,0.690211185,0.682400174,0.156199083,0.700221181,0.702977049,0.689414018,0.659472287,0.671727387
329,0.735682508,0.526330233,0.696307593,0.098026522,0.740909953,0.696532571,0.736962901,0.721234169,1.884819746,5.633026361,2.718255877,4.613738775,0.427788079,0.334713876,0.565147758,0.703863699,0.16037105,0.72263962,0.721555924,0.710261579
330,0.731224691,0.671507188,0.158094168,0.731565158,0.240294799,0.702307221,0.618209481,0.385459811,2.003773451,5.002563238,2.382436991,4.908575535,0.526856601,0.702548827,0.666126967,0.158066005,0.310994327,0.724093373,0.009836368,0.727309804
331,2.105344534,0.181894094,2.248576164,0.653466225,0.70927718,0.712646819,0.726339905,0.683981116,1.907594323,5.254961491,2.455414057,5.264912605,1.625409722,2.232637882,0.898580432,2.477472544,0.231963351,3.047446489,1.047527313,2.841501236
332,1.666132927,0.129901677,0.670583904,0.457963258,0.708958079,0.195989758,0.699685795,0.447513819,1.949721396,4.886370659,1.8530882,4.231937885,0.459846109,0.407735497,0.199140266,0.612884641,0.602498531,1.226016283,0.566455185,1.812013745
333,0.859509528,1.176826596,0.482462615,1.494611025,0.195236623,0.391814798,0.065326385,0.715313276,1.648951232,4.65919733,2.145524025,4.414063454,0.299544692,1.440749407,0.088479102,1.653423548,0.781176269,0.981136978,2.182723284,1.592501283
334,1.83169806,0.33283782,1.493347764,0.884587228,0.696838701,0.744052807,0.70089112,0.677537547,1.889211893,4.995924473,2.427275658,4.53525424,0.149499655,0.174043924,0.133969843,1.271282077,0.872640848,2.460217714,0.55643934,3.764524937
335,2.172001839,0.017612977,0.700366974,0.152945817,0.701072955,0.700731066,0.703631887,0.40852657,1.888670206,4.634124756,2.846424103,4.260882378,0.024909252,0.988226295,0.191003114,1.354611635,0.503559649,1.897819877,0.354206502,2.402701616
336,1.140817881,0.074940465,1.114914894,0.258148104,0.745723655,0.66832002,0.686389506,0.696509573,1.8753407,4.526538849,2.19052124,4.142587185,0.444329262,1.334727049,0.022235548,0.326104105,0.347399652,1.889827132,1.611225367,3.30641818
337,3.119929314,0.538230062,2.126520395,1.002475858,0.675529388,0.6741789,0.684746457,0.682921842,2.114500165,4.374050856,2.172392488,4.030363321,0.813876212,1.33762002,0.916652501,0.926979244,1.235265255,3.031773806,0.330808461,4.332978725
338,2.366867781,0.113133036,1.823689938,0.175049126,0.667676572,0.208870888,0.72287123,0.744567118,2.491523623,4.686792135,2.116040945,4.511098623,0.214986429,0.905476153,0.289187312,1.233134151,0.572155774,2.3506639,0.491620511,3.745916128
339,3.075363398,0.994421661,3.590099573,1.287309885,0.745898705,0.746104804,0.682068379,0.737496314,2.413330078,4.680873632,2.801125526,4.81780982,0.218465313,1.580425858,0.544146121,1.387367249,1.21282351,3.572792292,1.324972749,5.163722515
340,2.948665857,0.564670205,2.988656759,1.068679094,0.727410534,0.720459096,0.679030163,0.704020942,2.259532213,4.44069171,2.514093518,4.054071426,1.463324666,2.19534111,1.488818645,1.35760963,0.723721504,3.364665747,1.059845567,4.365794182
341,2.430181742,0.198171869,1.14722991,0.554515719,1.946215391,1.401872277,1.006983399,2.236769199,2.435644746,4.415869236,2.681841373,4.459121704,1.308849812,2.242162943,1.363118887,3.170333147,0.009228494,3.405682087,0.574717581,4.759961605
342,2.661112785,0.233879864,1.006818414,0.613323152,2.387280464,1.394332051,2.555783749,0.023428146,2.532595754,4.59693718,2.597038627,4.139937162,0.583987892,2.065624475,1.288162351,2.643977642,0.574267447,2.610224009,0.141730636,4.626404285
343,2.668840885,0.294902235,2.06181097,0.19365567,2.216335058,1.363651037,0.917621613,0.793404698,2.780481458,4.679633141,2.996316552,4.689706087,0.539231598,1.830715537,0.322098762,1.678023338,0.328202814,3.691457987,0.18170324,4.592423916
344,3.03130579,0.094101876,2.191970587,0.221234262,2.322978973,1.272868514,3.054904938,1.408601046,2.90867424,4.516233444,2.726259232,4.751353025,1.587116122,2.669719696,1.406684041,2.499688387,0.673665941,4.451177597,0.563391089,5.332184792
345,3.327141285,0.721651375,1.935304165,0.863204122,1.782429934,0.899205327,1.19256103,0.765774488,2.956122398,4.822003841,2.698321462,4.72017765,0.270087868,1.843954563,0.713981986,2.241646051,0.105909385,4.020196915,0.252178013,6.329930782
346,3.757799387,0.092274569,1.798299193,0.949082434,2.581358671,1.195396662,2.637069225,1.757511139,2.965943217,4.741910696,2.557261944,4.47456789,1.091427922,2.937335968,0.644696474,3.107509375,0.297189117,4.471460342,1.073888779,6.654356956
347,4.724299431,0.606134832,4.25473547,0.183963299,3.715213776,1.877193332,2.624295473,2.064374208,3.383894444,5.132858515,3.377032995,5.054021597,0.710227251,2.800997972,1.103783369,3.994429827,0.947190344,5.578641415,1.569695354,7.66107893
348,4.902380943,0.316491634,3.317217827,0.279175103,3.639125109,1.466514468,2.867292404,1.78096056,3.77426362,5.244690895,3.3970263,5.219112873,0.974666536,2.948763132,0.984289527,2.994160175,0.207764283,5.684245586,0.528593719,7.626689911
349,5.102160454,0.201117322,3.832134247,0.513253152,4.151385307,1.674305439,3.304350853,1.654253721,3.786749601,5.197482109,3.572449684,5.108804941,2.246314764,3.893210649,1.558866858,3.768883228,0.69148159,6.765688419,0.213760763,8.85983181
350,5.506672859,0.246648446,4.074470997,0.000800579,4.103786945,1.965483427,2.766257763,2.098253965,3.98312974,5.380119801,3.623411179,5.265846491,1.299535036,3.775351048,1.126318216,4.690394402,0.789531946,7.200445175,1.254643798,9.550573349
351,6.364748478,0.600112081,5.020377636,0.795428991,4.969940662,2.781139374,4.626879692,3.244641781,4.33163023,5.65566659,4.106352806,5.772875786,1.919258952,4.387905598,1.628727078,4.363883972,0.954440415,8.450528145,1.572852254,11.33701324
352,7.001319408,0.394436389,4.933075428,0.012426658,5.318117619,2.347766876,4.835702419,3.060568333,4.546725988,5.799046993,4.424982786,5.82957077,1.795224667,4.76515913,1.303606629,5.249575615,1.225076914,8.97563839,1.079808116,11.45885468
353,7.109710693,0.038042132,5.525185585,0.260155082,5.476475716,2.83230567,4.159093857,3.029677629,4.855272293,6.068637848,4.34954071,6.193249226,1.927587032,4.60115242,1.794290185,5.463860035,0.524088323,9.477233887,0.056495029,12.74572563
354,8.864830017,0.786406994,6.32483387,0.738913298,6.474086761,3.113497496,6.099703312,3.817227125,5.336258411,6.293834209,4.602591515,6.270997524,2.739390135,5.548900604,2.695678234,6.392363548,1.374532819,10.817029,0.916299045,14.32818222
355,9.246471405,0.789782286,8.006655693,1.587566495,7.251396179,3.734489202,5.97897625,5.394502163,5.67011261,6.722560883,5.198576927,6.666011333,2.846682072,6.331262589,2.198956728,7.376980782,1.443639159,11.70815563,1.512347102,15.07573128
356,10.24886513,0.789452612,8.4684515,0.611747384,7.777386665,3.51561904,6.513717175,4.449489117,6.171456814,6.918875694,5.375932693,7.029284,2.945696115,7.279131413,2.806250334,8.181678772,1.82477212,13.26149845,1.615576267,16.13780022
357,10.73403835,0.047140151,8.131486893,0.069236718,7.815585136,3.655203819,6.547793865,4.358534813,6.653159618,7.444822311,5.742685318,7.532250881,2.720021248,7.592080593,2.585991144,8.156540871,0.840353787,13.91658497,0.057989948,17.69168091
358,12.28911304,0.350424528,9.487208366,1.177530527,8.711006165,4.482523441,7.33446312,4.96418047,7.278945446,7.717694283,6.17007494,7.905572414,3.757094622,8.135899544,3.229477167,9.670724869,1.00417757,15.39974022,0.422969043,19.93243217
359,13.67181587,1.026676655,10.99118614,1.036296844,9.567657471,4.55954504,8.690059662,6.456619263,7.738630772,8.262934208,6.744448185,8.195724487,3.664455652,9.034653664,2.938425779,10.83602333,1.740135789,17.14047623,1.010796189,21.91819572
